"","taxonomy"
"ASV_16525","Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Candidatus Nostocoida;ASV_16525"
"ASV_16526","Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;ASV_16526"
"ASV_16527","Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus Udaeobacter;ASV_16527"
"ASV_16528","Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;NA;NA;ASV_16528"
"ASV_16529","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;NA;ASV_16529"
"ASV_1653","Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;NA;ASV_1653"
"ASV_16530","Bacteria;NA;NA;NA;NA;NA;ASV_16530"
"ASV_16531","Bacteria;Actinobacteriota;Actinobacteria;Elev-16S-976;NA;NA;ASV_16531"
"ASV_16532","Bacteria;Acidobacteriota;Acidobacteriae;NA;NA;NA;ASV_16532"
"ASV_16533","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_16533"
"ASV_16534","Bacteria;Actinobacteriota;Actinobacteria;NA;NA;NA;ASV_16534"
"ASV_16535","Bacteria;NA;NA;NA;NA;NA;ASV_16535"
"ASV_16536","Bacteria;Actinobacteriota;Actinobacteria;NA;NA;NA;ASV_16536"
"ASV_16537","Bacteria;Firmicutes;NA;NA;NA;NA;ASV_16537"
"ASV_16538","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;ASV_16538"
"ASV_16539","Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Acidibacter;ASV_16539"
"ASV_1654","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Conexibacter;ASV_1654"
"ASV_16540","Bacteria;Actinobacteriota;NA;NA;NA;NA;ASV_16540"
"ASV_16541","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;ASV_16541"
"ASV_16542","Bacteria;Verrucomicrobiota;Verrucomicrobiae;NA;NA;NA;ASV_16542"
"ASV_16543","Bacteria;Chloroflexi;NA;NA;NA;NA;ASV_16543"
"ASV_16544","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_16544"
"ASV_16545","Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Schlesneriaceae;NA;ASV_16545"
"ASV_16546","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;NA;NA;ASV_16546"
"ASV_16547","Bacteria;NA;NA;NA;NA;NA;ASV_16547"
"ASV_16548","Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2;NA;NA;ASV_16548"
"ASV_16549","Bacteria;NA;NA;NA;NA;NA;ASV_16549"
"ASV_1655","Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;ASV_1655"
"ASV_16550","Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;NA;ASV_16550"
"ASV_16551","Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2;NA;NA;ASV_16551"
"ASV_16552","Bacteria;WPS-2;NA;NA;NA;NA;ASV_16552"
"ASV_16553","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_16553"
"ASV_16554","Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Sporomusaceae;NA;ASV_16554"
"ASV_16555","Bacteria;Actinobacteriota;Actinobacteria;NA;NA;NA;ASV_16555"
"ASV_16556","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae;Candidatus Koribacter;ASV_16556"
"ASV_16557","Bacteria;Chloroflexi;Chloroflexia;Elev-1554;NA;NA;ASV_16557"
"ASV_16558","Bacteria;NA;NA;NA;NA;NA;ASV_16558"
"ASV_16559","Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;ASV_16559"
"ASV_1656","Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;ASV_1656"
"ASV_16560","Bacteria;Actinobacteriota;NA;NA;NA;NA;ASV_16560"
"ASV_16561","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_16561"
"ASV_16562","Bacteria;Planctomycetota;Planctomycetes;NA;NA;NA;ASV_16562"
"ASV_16563","Bacteria;Chloroflexi;Ktedonobacteria;NA;NA;NA;ASV_16563"
"ASV_16564","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_16564"
"ASV_16565","Bacteria;Actinobacteriota;NA;NA;NA;NA;ASV_16565"
"ASV_16566","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_16566"
"ASV_16567","Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;NA;ASV_16567"
"ASV_16568","Bacteria;Chloroflexi;KD4-96;NA;NA;NA;ASV_16568"
"ASV_16569","Bacteria;Chloroflexi;TK10;NA;NA;NA;ASV_16569"
"ASV_1657","Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2;NA;NA;ASV_1657"
"ASV_16570","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_16570"
"ASV_16571","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;A21b;NA;ASV_16571"
"ASV_16572","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;1921-2;ASV_16572"
"ASV_16573","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_16573"
"ASV_16574","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;NA;ASV_16574"
"ASV_16575","Bacteria;NA;NA;NA;NA;NA;ASV_16575"
"ASV_16576","Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA;ASV_16576"
"ASV_16577","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_16577"
"ASV_16578","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Plot4-2H12;ASV_16578"
"ASV_16579","Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;NA;ASV_16579"
"ASV_1658","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;ASV_1658"
"ASV_16580","Bacteria;Acidobacteriota;Acidobacteriae;Paludibaculum;NA;NA;ASV_16580"
"ASV_16581","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;NA;NA;ASV_16581"
"ASV_16582","Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;NA;ASV_16582"
"ASV_16583","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_16583"
"ASV_16584","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;ASV_16584"
"ASV_16585","Bacteria;Chloroflexi;KD4-96;NA;NA;NA;ASV_16585"
"ASV_16586","Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;CPla-3 termite group;NA;ASV_16586"
"ASV_16587","Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;ASV_16587"
"ASV_16588","Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Acidibacter;ASV_16588"
"ASV_16589","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;NA;ASV_16589"
"ASV_1659","Bacteria;Firmicutes;Bacilli;Thermoactinomycetales;Thermoactinomycetaceae;Pasteuria;ASV_1659"
"ASV_16590","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_16590"
"ASV_16591","Bacteria;Chloroflexi;Anaerolineae;SBR1031;NA;NA;ASV_16591"
"ASV_16592","Bacteria;NA;NA;NA;NA;NA;ASV_16592"
"ASV_16593","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_16593"
"ASV_16594","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_16594"
"ASV_16595","Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;NA;ASV_16595"
"ASV_16596","Bacteria;Chloroflexi;P2-11E;NA;NA;NA;ASV_16596"
"ASV_16597","Bacteria;Chloroflexi;KD4-96;NA;NA;NA;ASV_16597"
"ASV_16598","Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Pseudopelobacteraceae;Pseudopelobacter;ASV_16598"
"ASV_16599","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;NA;ASV_16599"
"ASV_166","Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;NA;NA;ASV_166"
"ASV_1660","Bacteria;Chloroflexi;KD4-96;NA;NA;NA;ASV_1660"
"ASV_16600","Bacteria;NA;NA;NA;NA;NA;ASV_16600"
"ASV_16601","Bacteria;NA;NA;NA;NA;NA;ASV_16601"
"ASV_16602","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_16602"
"ASV_16603","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Nitrobacter;ASV_16603"
"ASV_16604","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;NA;NA;ASV_16604"
"ASV_16605","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_16605"
"ASV_16606","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;NA;ASV_16606"
"ASV_16607","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_16607"
"ASV_16608","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Telmatobacter;ASV_16608"
"ASV_16609","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;NA;NA;ASV_16609"
"ASV_1661","Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Sporomusaceae;Sporomusa;ASV_1661"
"ASV_16610","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;NA;NA;ASV_16610"
"ASV_16611","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;NA;NA;ASV_16611"
"ASV_16612","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;1921-2;ASV_16612"
"ASV_16613","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;ASV_16613"
"ASV_16614","Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;NA;NA;ASV_16614"
"ASV_16615","Bacteria;Chloroflexi;Ktedonobacteria;NA;NA;NA;ASV_16615"
"ASV_16616","Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;NA;ASV_16616"
"ASV_16617","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;NA;NA;ASV_16617"
"ASV_16618","Bacteria;NA;NA;NA;NA;NA;ASV_16618"
"ASV_16619","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;ASV_16619"
"ASV_1662","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Granulicella;ASV_1662"
"ASV_16620","Bacteria;NA;NA;NA;NA;NA;ASV_16620"
"ASV_16621","Bacteria;Chloroflexi;JG30-KF-CM66;NA;NA;NA;ASV_16621"
"ASV_16622","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;NA;NA;ASV_16622"
"ASV_16623","Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;NA;ASV_16623"
"ASV_16624","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;NA;ASV_16624"
"ASV_16625","Bacteria;Acidobacteriota;Acidobacteriae;NA;NA;NA;ASV_16625"
"ASV_16626","Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;NA;ASV_16626"
"ASV_16627","Bacteria;Actinobacteriota;NA;NA;NA;NA;ASV_16627"
"ASV_16628","Bacteria;NA;NA;NA;NA;NA;ASV_16628"
"ASV_16629","Bacteria;NA;NA;NA;NA;NA;ASV_16629"
"ASV_1663","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Conexibacter;ASV_1663"
"ASV_16630","Bacteria;RCP2-54;NA;NA;NA;NA;ASV_16630"
"ASV_16631","Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus Udaeobacter;ASV_16631"
"ASV_16632","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;NA;NA;ASV_16632"
"ASV_16633","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_16633"
"ASV_16634","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_16634"
"ASV_16635","Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;NA;NA;ASV_16635"
"ASV_16636","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;NA;ASV_16636"
"ASV_16637","Bacteria;Proteobacteria;Gammaproteobacteria;WD260;NA;NA;ASV_16637"
"ASV_16638","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);NA;ASV_16638"
"ASV_16639","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys;ASV_16639"
"ASV_1664","Bacteria;Acidobacteriota;Holophagae;Subgroup 7;NA;NA;ASV_1664"
"ASV_16640","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Nitrobacter;ASV_16640"
"ASV_16641","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Plot4-2H12;ASV_16641"
"ASV_16642","Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Acidibacter;ASV_16642"
"ASV_16643","Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Humitalea;ASV_16643"
"ASV_16644","Bacteria;Firmicutes;NA;NA;NA;NA;ASV_16644"
"ASV_16645","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;NA;ASV_16645"
"ASV_16646","Bacteria;Chloroflexi;Ktedonobacteria;NA;NA;NA;ASV_16646"
"ASV_16647","Bacteria;Acidobacteriota;Holophagae;Subgroup 7;NA;NA;ASV_16647"
"ASV_16648","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;ASV_16648"
"ASV_16649","Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Sporomusaceae;NA;ASV_16649"
"ASV_1665","Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;ASV_1665"
"ASV_16650","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;NA;ASV_16650"
"ASV_16651","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus;ASV_16651"
"ASV_16652","Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2;NA;NA;ASV_16652"
"ASV_16653","Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;NA;ASV_16653"
"ASV_16654","Bacteria;Actinobacteriota;Actinobacteria;NA;NA;NA;ASV_16654"
"ASV_16655","Bacteria;Acidobacteriota;Blastocatellia;Elev-16S-573;NA;NA;ASV_16655"
"ASV_16656","Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2;NA;NA;ASV_16656"
"ASV_16657","Bacteria;Chloroflexi;TK10;NA;NA;NA;ASV_16657"
"ASV_16658","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_16658"
"ASV_16659","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;NA;ASV_16659"
"ASV_1666","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;ASV_1666"
"ASV_16660","Bacteria;Chloroflexi;Ktedonobacteria;NA;NA;NA;ASV_16660"
"ASV_16661","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_16661"
"ASV_16662","Bacteria;Chloroflexi;KD4-96;NA;NA;NA;ASV_16662"
"ASV_16663","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Terracoccus;ASV_16663"
"ASV_16664","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_16664"
"ASV_16665","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;NA;ASV_16665"
"ASV_16666","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_16666"
"ASV_16667","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_16667"
"ASV_16668","Bacteria;Chloroflexi;NA;NA;NA;NA;ASV_16668"
"ASV_16669","Bacteria;Chloroflexi;Ktedonobacteria;NA;NA;NA;ASV_16669"
"ASV_1667","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Granulicella;ASV_1667"
"ASV_16670","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_16670"
"ASV_16671","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_16671"
"ASV_16672","Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;NA;ASV_16672"
"ASV_16673","Bacteria;Proteobacteria;Gammaproteobacteria;WD260;NA;NA;ASV_16673"
"ASV_16674","Bacteria;Chloroflexi;Ktedonobacteria;NA;NA;NA;ASV_16674"
"ASV_16675","Bacteria;NA;NA;NA;NA;NA;ASV_16675"
"ASV_16676","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_16676"
"ASV_16677","Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2;NA;NA;ASV_16677"
"ASV_16678","Bacteria;Chloroflexi;Chloroflexia;Elev-1554;NA;NA;ASV_16678"
"ASV_16679","Bacteria;Acidobacteriota;Acidobacteriae;NA;NA;NA;ASV_16679"
"ASV_1668","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Conexibacter;ASV_1668"
"ASV_16680","Bacteria;Actinobacteriota;Acidimicrobiia;NA;NA;NA;ASV_16680"
"ASV_16681","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;1921-2;ASV_16681"
"ASV_16682","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_16682"
"ASV_16683","Bacteria;Chloroflexi;Ktedonobacteria;NA;NA;NA;ASV_16683"
"ASV_16684","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;ASV_16684"
"ASV_16685","Bacteria;NA;NA;NA;NA;NA;ASV_16685"
"ASV_16686","Bacteria;NA;NA;NA;NA;NA;ASV_16686"
"ASV_16687","Bacteria;NA;NA;NA;NA;NA;ASV_16687"
"ASV_16688","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;NA;NA;ASV_16688"
"ASV_16689","Bacteria;NA;NA;NA;NA;NA;ASV_16689"
"ASV_1669","Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Sporomusaceae;Pelosinus;ASV_1669"
"ASV_16690","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_16690"
"ASV_16691","Bacteria;NA;NA;NA;NA;NA;ASV_16691"
"ASV_16692","Bacteria;Chloroflexi;Chloroflexia;Elev-1554;NA;NA;ASV_16692"
"ASV_16693","Bacteria;Chloroflexi;NA;NA;NA;NA;ASV_16693"
"ASV_16694","Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;NA;ASV_16694"
"ASV_16695","Bacteria;Chloroflexi;Ktedonobacteria;NA;NA;NA;ASV_16695"
"ASV_16696","Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2;NA;NA;ASV_16696"
"ASV_16697","Bacteria;Chloroflexi;Ktedonobacteria;NA;NA;NA;ASV_16697"
"ASV_16698","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;NA;ASV_16698"
"ASV_16699","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_16699"
"ASV_167","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;NA;NA;ASV_167"
"ASV_1670","Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae;Desulfosporosinus;ASV_1670"
"ASV_16700","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_16700"
"ASV_16701","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;A21b;NA;ASV_16701"
"ASV_16702","Bacteria;Chloroflexi;NA;NA;NA;NA;ASV_16702"
"ASV_16703","Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;NA;ASV_16703"
"ASV_16704","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Variibacter;ASV_16704"
"ASV_16705","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;NA;ASV_16705"
"ASV_16706","Bacteria;Chloroflexi;Chloroflexia;Elev-1554;NA;NA;ASV_16706"
"ASV_16707","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;NA;NA;ASV_16707"
"ASV_16708","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_16708"
"ASV_16709","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;NA;NA;ASV_16709"
"ASV_1671","Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;NA;ASV_1671"
"ASV_16710","Bacteria;Proteobacteria;Alphaproteobacteria;Elsterales;NA;NA;ASV_16710"
"ASV_16711","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_16711"
"ASV_16712","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 9;ASV_16712"
"ASV_16713","Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;NA;ASV_16713"
"ASV_16714","Bacteria;Acidobacteriota;Acidobacteriae;NA;NA;NA;ASV_16714"
"ASV_16715","Bacteria;Bacteroidota;Ignavibacteria;SJA-28;NA;NA;ASV_16715"
"ASV_16716","Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;NA;ASV_16716"
"ASV_16717","Bacteria;Chloroflexi;Ktedonobacteria;NA;NA;NA;ASV_16717"
"ASV_16718","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;NA;NA;ASV_16718"
"ASV_16719","Bacteria;Chloroflexi;KD4-96;NA;NA;NA;ASV_16719"
"ASV_1672","Bacteria;Chloroflexi;TK10;NA;NA;NA;ASV_1672"
"ASV_16720","Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Acidibacter;ASV_16720"
"ASV_16721","Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Sporomusaceae;Pelosinus;ASV_16721"
"ASV_16722","Bacteria;Acidobacteriota;Holophagae;Subgroup 7;NA;NA;ASV_16722"
"ASV_16723","Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;NA;ASV_16723"
"ASV_16724","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys;ASV_16724"
"ASV_16725","Bacteria;Chloroflexi;NA;NA;NA;NA;ASV_16725"
"ASV_16726","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;A21b;NA;ASV_16726"
"ASV_16727","Bacteria;Chloroflexi;Ktedonobacteria;B12-WMSP1;NA;NA;ASV_16727"
"ASV_16728","Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae;NA;ASV_16728"
"ASV_16729","Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;NA;NA;ASV_16729"
"ASV_1673","Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;ASV_1673"
"ASV_16730","Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;NA;NA;ASV_16730"
"ASV_16731","Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;ASV_16731"
"ASV_16732","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;GOUTA6;ASV_16732"
"ASV_16733","Bacteria;Chloroflexi;Ktedonobacteria;C0119;NA;NA;ASV_16733"
"ASV_16734","Bacteria;Chloroflexi;NA;NA;NA;NA;ASV_16734"
"ASV_16735","Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2;NA;NA;ASV_16735"
"ASV_16736","Bacteria;NA;NA;NA;NA;NA;ASV_16736"
"ASV_16737","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;NA;ASV_16737"
"ASV_16738","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;ASV_16738"
"ASV_16739","Bacteria;NA;NA;NA;NA;NA;ASV_16739"
"ASV_1674","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia;ASV_1674"
"ASV_16740","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;NA;ASV_16740"
"ASV_16741","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;NA;NA;ASV_16741"
"ASV_16742","Bacteria;NA;NA;NA;NA;NA;ASV_16742"
"ASV_16743","Bacteria;Chloroflexi;NA;NA;NA;NA;ASV_16743"
"ASV_16744","Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;ASV_16744"
"ASV_16745","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;1174-901-12;ASV_16745"
"ASV_16746","Bacteria;Chloroflexi;AD3;NA;NA;NA;ASV_16746"
"ASV_16747","Bacteria;Chloroflexi;NA;NA;NA;NA;ASV_16747"
"ASV_16748","Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA;ASV_16748"
"ASV_16749","Bacteria;NA;NA;NA;NA;NA;ASV_16749"
"ASV_1675","Bacteria;Proteobacteria;Gammaproteobacteria;WD260;NA;NA;ASV_1675"
